t,i,a,threads,nodes,roots,work,method,Time (ns)
1,1,1,8,40000,100,300,seq,166539808
2,1,2,8,40000,100,300,rayon,28814638
3,1,3,8,40000,100,300,orx,26681350
4,1,4,8,40000,100,300,orx-s1,27633444
5,1,5,8,40000,100,300,orx-s8,29910198
6,1,6,8,40000,100,300,orx-s1-c64,29711845
7,1,7,8,40000,100,300,orx-s8-c64,61621738
8,2,1,16,40000,100,300,seq,146620415
9,2,2,16,40000,100,300,rayon,21505259
10,2,3,16,40000,100,300,orx,24303114
11,2,4,16,40000,100,300,orx-s1,27370828
12,2,5,16,40000,100,300,orx-s8,23738614
13,2,6,16,40000,100,300,orx-s1-c64,25368162
14,2,7,16,40000,100,300,orx-s8-c64,44562971
15,3,1,24,40000,100,300,seq,150724890
16,3,2,24,40000,100,300,rayon,20914833
17,3,3,24,40000,100,300,orx,37444500
18,3,4,24,40000,100,300,orx-s1,29236304
19,3,5,24,40000,100,300,orx-s8,36703223
20,3,6,24,40000,100,300,orx-s1-c64,28871669
21,3,7,24,40000,100,300,orx-s8-c64,37329106
22,4,1,32,40000,100,300,seq,152319394
23,4,2,32,40000,100,300,rayon,22565941
24,4,3,32,40000,100,300,orx,106091422
25,4,4,32,40000,100,300,orx-s1,60278795
26,4,5,32,40000,100,300,orx-s8,71862124
27,4,6,32,40000,100,300,orx-s1-c64,35584550
28,4,7,32,40000,100,300,orx-s8-c64,41665981
